probe_id;address_v4;address_v6;cc;asn_v4;asn_v6
3;62.251.17.184;2001:985:71fc:fd:220:4aff:fec8:2532;NL;3265;3265
4;83.163.50.165;2001:980:57a4:1:220:4aff:fec8:244a;NL;3265;3265
5;83.163.239.181;2001:981:602b:1:220:4aff:fec8:2355;NL;3265;3265
8;83.68.21.139;2001:984:aee9:6:220:4aff:fec8:2464;NL;3265;3265
9;193.0.0.78;2001:67c:2e8:ffe1:220:4aff:fec6:cc9d;NL;3333;3333
13;80.101.127.77;2001:981:3af7:1:220:4aff:fec8:2068;NL;3265;3265
15;193.0.0.78;2001:67c:2e8:ffe1:220:4aff:fec6:cc6e;NL;3333;3333
16;92.110.223.110;fd5d:3eda:5200:1:220:4aff:fec8:25c1;NL;6830;0
20;82.95.178.49;2001:980:1203:1:220:4aff:fec6:cc56;NL;3265;3265
24;70.236.210.203;2600:1700:8a15:4010:220:4aff:fec8:25e7;US;7018;7018
28;68.229.58.13;2600:8801:1100:1b27:220:4aff:fec8:2455;US;22773;22773
32;24.94.19.39;2605:e000:1c0a:c0ea:220:4aff:fec8:25ed;US;20001;20001
37;2.57.252.147;2001:678:d44:65:220:4aff:fec8:22fe;NL;20473;213279
38;80.101.155.185;2001:981:88ba:1:220:4aff:febf:fd6f;NL;3265;3265
41;82.243.185.246;2a01:e35:2f3b:9f60:220:4aff:fec8:22b7;FR;12322;12322
43;77.95.64.208;2a03:9180:1:20:220:4aff:fec8:229c;FR;199422;199422
57;217.69.64.206;2001:aa8:fffe:3:220:4aff:fec8:2098;DE;20621;20621
60;178.194.73.240;2a02:120b:2c24:9f00:220:4aff:fec8:22eb;CH;3303;3303
63;81.13.130.240;2001:620:2010:103:220:4aff:fec8:254f;CH;15547;559
66;92.169.145.197;2a01:cb04:524:5200:220:4aff:fec8:23c0;FR;3215;3215
81;109.193.255.26;2a01:170:1120:1120:220:4aff:fec8:2756;DE;6830;8820
86;24.17.62.115;2601:600:9c80:4a80:220:4aff:fec8:20ae;US;7922;7922
92;213.136.0.6;2001:7b8:610:6:220:4aff:fec8:24bd;NL;12859;12859
94;62.131.129.116;2a02:a44f:a585:1:220:4aff:fec8:230c;NL;1136;1136
97;24.11.37.175;2601:681:527f:eb40:220:4aff:fec8:2386;US;7922;7922
141;92.104.112.185;2a02:1205:c687:b92:220:4aff:fec6:cbe6;CH;3303;3303
144;212.25.179.151;2001:4b78:1:f:220:4aff:fec8:22f6;IT;12637;12637
147;212.49.129.251;2001:ac0::220:4aff:febf:fd49;ES;8903;8903
165;194.85.27.7;2002:3e4c:2601:0:220:4aff:fec8:25cb;RU;42548;0
167;83.85.108.75;2001:1c00:d16:e100:220:4aff:febf:fd42;NL;33915;33915
191;213.93.133.45;2001:470:78dc:0:220:4aff:fec8:22a4;NL;6830;6939
194;62.251.108.8;2001:985:b3c0:1:220:4aff:fec8:2099;NL;3265;3265
197;2.15.58.148;2a01:cb1d:111:eb00:220:4aff:fec8:243b;FR;3215;3215
200;185.78.48.171;2a02:4720:0:abcd:220:4aff:fec8:2481;IT;201333;201333
203;122.199.12.99;2401:d002:5c02:0:220:4aff:fec8:22e1;AU;38195;38195
212;59.167.217.120;2001:44b8:2134:810:220:4aff:fec8:252a;AU;4739;4739
213;213.128.135.169;2001:868:100:2c0:220:4aff:fec8:2518;DE;12731;12731
225;90.202.172.245;fd31:557f:1e0e:0:220:4aff:fec8:2599;GB;5607;0
226;203.16.208.142;2001:44b8:1121:1a00:220:4aff:fec8:245d;AU;4739;4739
227;165.255.156.84;2001:42a0:1000:48::190;ZA;37611;6083
236;83.85.216.94;2001:470:1f15:20e:220:4aff:febf:fdd4;NL;9143;6939
237;193.0.0.78;2001:67c:2e8:ffe1:220:4aff:fec8:232a;NL;3333;3333
241;195.34.46.42;2a02:28:2:a:220:4aff:fec8:22d6;RU;8359;8359
249;193.206.159.190;2001:760:0:159:220:4aff:fec8:250c;IT;137;137
250;82.197.168.110;2001:1620:2777:21:220:4aff:fec6:cc8d;CH;13030;13030
267;213.95.173.146;2001:780:100:4:220:4aff:fec8:22dd;DE;12337;12337
307;69.181.217.78;2601:647:5600:82:220:4aff:fec8:2318;US;7922;7922
310;91.226.167.47;fdb5:8ec6:b79c:0:220:4aff:febf:fde9;RU;44678;0
